stamp,day,01 Temp. °C,01 Light,01 Nitrate,01 Phosp,01 grow,05 Temp. °C,05 Light,05 Nitrate,05 Phosp,05 grow,09 Temp. °C,09 Light,09 Nitrate,09 Phosp,09 grow,02 Temp. °C,02 Light,02 Nitrate,02 Phosp,02 grow,06 Temp. °C,06 Light,06 Nitrate,06 Phosp,06 grow,12 Temp. °C,12 Light,12 Nitrate,12 Phosp,12 grow,,,,
5/19/2022,0,19.5,0,2971.8,9.662618123,0,20,0,3011,15.62372802,0,19.70000076,0,2991.4,12.64317307,0,19.5,0,2988.3,15.73729721,0,19.39999962,0,2988.3,15.73729721,0,19.39999962,0,2988.3,15.73729721,0,,,,
5/19/2022,0,19.5,0,2971.8,9.662618123,0,20,0,3011,15.62372802,0,19.70000076,0,2991.4,12.64317307,0,19.5,0,2988.3,15.73729721,0,19.39999962,0,2988.3,15.73729721,0,19.39999962,0,2988.3,15.73729721,0,,,,
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,20,0,3011,15.62372802,0,19.70000076,0,2991.4,12.64317307,0,19.39999962,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,19.39999962,0,2988.3,15.73729721,0,,,,
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,20,0,3011,15.62372802,0,19.70000076,0,2991.4,12.64317307,0,19.39999962,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,19.39999962,0,2988.3,15.73729721,0,,,,
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.89999962,0,3011,15.62372802,0,19.60000038,0,2991.4,12.64317307,0,19.39999962,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,,,,
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.89999962,0,3011,15.62372802,0,19.60000038,0,2991.4,12.64317307,0,19.39999962,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,,,1,1.14230262
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.89999962,0,3011,15.62372802,0,19.70000076,0,2991.4,12.64317307,0,19.39999962,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,19.29999924,0,2988.3,15.73729721,0,,,,0.204084833
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.89999962,0,3011,15.62372802,0,19.60000038,0,2991.4,12.64317307,0,19.29999924,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,,,,0.364840068
5/19/2022,0,19.29999924,0,2971.8,9.662618123,0,19.89999962,0,3011,15.62372802,0,19.5,0,2991.4,12.64317307,0,19.29999924,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,,,,0.258052874
5/19/2022,0,19.20000076,0,2971.8,9.662618123,0,19.89999962,0,3011,15.62372802,0,19.5,0,2991.4,12.64317307,0,19.29999924,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,,,,-0.329708547
5/19/2022,0,19.29999924,0,2971.8,9.662618123,0,19.89999962,0,3011,15.62372802,0,19.5,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,,,,-2.47021742
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.79999924,0,3011,15.62372802,0,19.5,0,2991.4,12.64317307,0,19.29999924,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,,,,-1.915321646
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.79999924,0,3011,15.62372802,0,19.5,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,19.20000076,0,2988.3,15.73729721,0,,,,0.282420161
5/19/2022,0,19.20000076,0,2971.8,9.662618123,0,19.79999924,0,3011,15.62372802,0,19.39999962,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,,,,-2.765420233
5/19/2022,0,19.29999924,0,2971.8,9.662618123,0,19.79999924,0,3011,15.62372802,0,19.39999962,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,,,,2.355448583
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.70000076,0,3011,15.62372802,0,19.39999962,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,,,,2.027648907
5/19/2022,0,19.39999962,0,2971.8,9.662618123,0,19.70000076,0,3011,15.62372802,0,19.39999962,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,,,,
5/19/2022,0,19.29999924,0,2971.8,9.662618123,0,19.70000076,0,3011,15.62372802,0,19.39999962,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,,,5,1.401332238
5/19/2022,0,19.29999924,0,2971.8,9.662618123,0,19.70000076,0,3011,15.62372802,0,19.39999962,0,2991.4,12.64317307,0,19.20000076,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,19.10000038,0,2988.3,15.73729721,0,,,,1.102409577
5/19/2022,0,19.20000076,0,2971.8,9.662618123,0,19.60000038,0,3011,15.62372802,0,19.39999962,0,2991.4,12.64317307,0,19.10000038,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,,,,0.703443842
5/19/2022,0,19.29999924,0,2971.8,9.662618123,0,19.60000038,0,3011,15.62372802,0,19.29999924,0,2991.4,12.64317307,0,19.10000038,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,,,,0.201529444
5/19/2022,0,19.29999924,0,2971.8,9.662618123,0,19.60000038,0,3011,15.62372802,0,19.29999924,0,2991.4,12.64317307,0,19.10000038,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,,,,0.381291321
5/19/2022,0,19.20000076,0,2971.8,9.662618123,0,19.60000038,0,3011,15.62372802,0,19.29999924,0,2991.4,12.64317307,0,19.10000038,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,,,,0.840925324
5/19/2022,0,19.10000038,0,2971.8,9.662618123,0,19.60000038,0,3011,15.62372802,0,19.29999924,0,2991.4,12.64317307,0,19.10000038,0,2988.3,15.73729721,0,18.89999962,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,,,,0.262121027
5/19/2022,0,19.20000076,0,2971.8,9.662618123,0,19.60000038,0,3011,15.62372802,0,19.29999924,0,2991.4,12.64317307,0,19.10000038,0,2988.3,15.73729721,0,18.89999962,0,2988.3,15.73729721,0,19,0,2988.3,15.73729721,0,,,,-0.063584622
5/19/2022,0,19.20000076,0,2971.8,9.662618123,0,19.5,0,3011,15.62372802,0,19.20000076,0,2991.4,12.64317307,0,19,0,2988.3,15.73729721,0,18.89999962,0,2988.3,15.73729721,0,18.89999962,0,2988.3,15.73729721,0,,,,-1.146309127
5/19/2022,0,19.20000076,0,2971.8,9.662618123,0,19.5,0,3011,15.62372802,0,19.10000038,0,2991.4,12.64317307,0,18.89999962,0,2988.3,15.73729721,0,18.89999962,0,2988.3,15.73729721,0,18.89999962,0,2988.3,15.73729721,0,,,,-2.370835526
