stamp,day,03 Temp. °C,03 Light,03 Nitrate,03 Phosp,03 grow,08 Temp. °C,08 Light,08 Nitrate,08 Phosp,08 grow,10 Temp. °C,10 Light,10 Nitrate,10 Phosp,10 grow,04 Temp. °C,04 Light,04 Nitrate,04 Phosp,04 grow,07 Temp. °C,07 Light,07 Nitrate,07 Phosp,07 grow,11 Temp. °C,11 Light,11 Nitrate,11 Phosp,11 grow
5/19/2022,0,19.79999924,0,3403.6797,18.6684825,0,20,0,3583.2047,12.57290526,0,19.29999924,0,3373.55005,11.24189037,0,19.89999962,0,3473.3238,9.819693515,0,19.5,0,3551.01255,10.46041651,0,20.20000076,0,3657.5545,14.81687121,0
5/19/2022,0,19.79999924,0,3403.6797,18.6684825,0,20,0,3583.2047,12.57290526,0,19.29999924,0,3373.55005,11.24189037,0,19.89999962,0,3473.3238,9.819693515,0,19.5,0,3551.01255,10.46041651,0,20.20000076,0,3657.5545,14.81687121,0
5/19/2022,0,19.70000076,0,3403.6797,18.6684825,0,20,0,3583.2047,12.57290526,0,19.29999924,0,3373.55005,11.24189037,0,19.89999962,0,3473.3238,9.819693515,0,19.5,0,3551.01255,10.46041651,0,20.10000038,0,3657.5545,14.81687121,0
5/19/2022,0,19.70000076,0,3403.6797,18.6684825,0,20,0,3583.2047,12.57290526,0,19.29999924,0,3373.55005,11.24189037,0,19.79999924,0,3473.3238,9.819693515,0,19.39999962,0,3551.01255,10.46041651,0,20.10000038,0,3657.5545,14.81687121,0
5/19/2022,0,19.70000076,0,3403.6797,18.6684825,0,20,0,3583.2047,12.57290526,0,19.20000076,0,3373.55005,11.24189037,0,19.70000076,0,3473.3238,9.819693515,0,19.5,0,3551.01255,10.46041651,0,20.10000038,0,3657.5545,14.81687121,0
5/19/2022,0,19.60000038,0,3403.6797,18.6684825,0,20,0,3583.2047,12.57290526,0,19.29999924,0,3373.55005,11.24189037,0,19.70000076,0,3473.3238,9.819693515,0,19.39999962,0,3551.01255,10.46041651,0,20.10000038,0,3657.5545,14.81687121,0
5/19/2022,0,19.60000038,0,3403.6797,18.6684825,0,20,0,3583.2047,12.57290526,0,19.20000076,0,3373.55005,11.24189037,0,19.70000076,0,3473.3238,9.819693515,0,19.39999962,0,3551.01255,10.46041651,0,20.10000038,0,3657.5545,14.81687121,0
5/19/2022,0,19.60000038,0,3403.6797,18.6684825,0,19.89999962,0,3583.2047,12.57290526,0,19.20000076,0,3373.55005,11.24189037,0,19.60000038,0,3473.3238,9.819693515,0,19.39999962,0,3551.01255,10.46041651,0,20.10000038,0,3657.5545,14.81687121,0
5/19/2022,0,19.60000038,0,3403.6797,18.6684825,0,19.89999962,0,3583.2047,12.57290526,0,19.20000076,0,3373.55005,11.24189037,0,19.79999924,0,3473.3238,9.819693515,0,19.60000038,0,3551.01255,10.46041651,0,20.10000038,0,3657.5545,14.81687121,0
5/19/2022,0,19.60000038,0,3403.6797,18.6684825,0,19.89999962,0,3583.2047,12.57290526,0,19.20000076,0,3373.55005,11.24189037,0,19.60000038,0,3473.3238,9.819693515,0,19.39999962,0,3551.01255,10.46041651,0,20,0,3657.5545,14.81687121,0
5/19/2022,0,19.60000038,0,3403.6797,18.6684825,0,19.89999962,0,3583.2047,12.57290526,0,19.20000076,0,3373.55005,11.24189037,0,19.60000038,0,3473.3238,9.819693515,0,19.39999962,0,3551.01255,10.46041651,0,20,0,3657.5545,14.81687121,0
